track_id,genre,processed_path,embedding_status,error_message
1482,Electronic,data/processed/1482.wav,success,
3573,Electronic,data/processed/3573.wav,success,
4519,Electronic,data/processed/4519.wav,success,
4520,Electronic,data/processed/4520.wav,success,
4521,Electronic,data/processed/4521.wav,success,
4522,Electronic,data/processed/4522.wav,success,
7011,Electronic,data/processed/7011.wav,success,
11206,Electronic,data/processed/11206.wav,success,
11262,Electronic,data/processed/11262.wav,success,
11942,Electronic,data/processed/11942.wav,success,
148,Experimental,data/processed/148.wav,success,
424,Experimental,data/processed/424.wav,success,
615,Experimental,data/processed/615.wav,success,
897,Experimental,data/processed/897.wav,success,
995,Experimental,data/processed/995.wav,success,
997,Experimental,data/processed/997.wav,success,
998,Experimental,data/processed/998.wav,success,
1066,Experimental,data/processed/1066.wav,success,
1069,Experimental,data/processed/1069.wav,success,
1073,Experimental,data/processed/1073.wav,success,
140,Folk,data/processed/140.wav,success,
141,Folk,data/processed/141.wav,success,
190,Folk,data/processed/190.wav,success,
193,Folk,data/processed/193.wav,success,
194,Folk,data/processed/194.wav,success,
197,Folk,data/processed/197.wav,success,
200,Folk,data/processed/200.wav,success,
203,Folk,data/processed/203.wav,success,
204,Folk,data/processed/204.wav,success,
207,Folk,data/processed/207.wav,success,
2,Hip-Hop,data/processed/2.wav,success,
5,Hip-Hop,data/processed/5.wav,success,
676,Hip-Hop,data/processed/676.wav,success,
694,Hip-Hop,data/processed/694.wav,success,
695,Hip-Hop,data/processed/695.wav,success,
4682,Hip-Hop,data/processed/4682.wav,success,
4684,Hip-Hop,data/processed/4684.wav,success,
4685,Hip-Hop,data/processed/4685.wav,success,
4688,Hip-Hop,data/processed/4688.wav,success,
5264,Hip-Hop,data/processed/5264.wav,success,
10250,Instrumental,data/processed/10250.wav,success,
11638,Instrumental,data/processed/11638.wav,success,
14568,Instrumental,data/processed/14568.wav,success,
14569,Instrumental,data/processed/14569.wav,success,
14570,Instrumental,data/processed/14570.wav,success,
14571,Instrumental,data/processed/14571.wav,success,
14572,Instrumental,data/processed/14572.wav,success,
14576,Instrumental,data/processed/14576.wav,success,
14577,Instrumental,data/processed/14577.wav,success,
14578,Instrumental,data/processed/14578.wav,success,
666,International,data/processed/666.wav,success,
667,International,data/processed/667.wav,success,
704,International,data/processed/704.wav,success,
705,International,data/processed/705.wav,success,
706,International,data/processed/706.wav,success,
707,International,data/processed/707.wav,success,
708,International,data/processed/708.wav,success,
709,International,data/processed/709.wav,success,
853,International,data/processed/853.wav,success,
1082,International,data/processed/1082.wav,success,
10,Pop,data/processed/10.wav,success,
213,Pop,data/processed/213.wav,success,
821,Pop,data/processed/821.wav,success,
822,Pop,data/processed/822.wav,success,
1642,Pop,data/processed/1642.wav,success,
1644,Pop,data/processed/1644.wav,success,
1649,Pop,data/processed/1649.wav,success,
1661,Pop,data/processed/1661.wav,success,
1663,Pop,data/processed/1663.wav,success,
1666,Pop,data/processed/1666.wav,success,
182,Rock,data/processed/182.wav,success,
255,Rock,data/processed/255.wav,success,
256,Rock,data/processed/256.wav,success,
368,Rock,data/processed/368.wav,success,
459,Rock,data/processed/459.wav,success,
574,Rock,data/processed/574.wav,success,
690,Rock,data/processed/690.wav,success,
777,Rock,data/processed/777.wav,success,
825,Rock,data/processed/825.wav,success,
993,Rock,data/processed/993.wav,success,
