track_id,raw_path,genre,title,artist,album,split,subset,processed_path,sample_rate,duration_seconds,status,error_message
1482,data/raw/fma_small/001/001482.mp3,Electronic,Reindeer Dance,Rainbro,Vectors,training,small,data/processed/1482.wav,22050,30.0,success,
3573,data/raw/fma_small/003/003573.mp3,Electronic,Piggled,Dan Deacon,Live at WFMU on OCDJ's Show on 7/23/2003,training,small,data/processed/3573.wav,22050,30.0,success,
4519,data/raw/fma_small/004/004519.mp3,Electronic,Golden,High Places,Live at WFMU on Marty McSorely's Show on 10/28/2008,training,small,data/processed/4519.wav,22050,30.0,success,
4520,data/raw/fma_small/004/004520.mp3,Electronic,From Stardust to Sentience,High Places,Live at WFMU on Marty McSorely's Show on 10/28/2008,training,small,data/processed/4520.wav,22050,30.0,success,
4521,data/raw/fma_small/004/004521.mp3,Electronic,Namer,High Places,Live at WFMU on Marty McSorely's Show on 10/28/2008,training,small,data/processed/4521.wav,22050,30.0,success,
4522,data/raw/fma_small/004/004522.mp3,Electronic,Oceanus,High Places,Live at WFMU on Marty McSorely's Show on 10/28/2008,training,small,data/processed/4522.wav,22050,30.0,success,
7011,data/raw/fma_small/007/007011.mp3,Electronic,in sleepy electricity,junior85,sleepy,validation,small,data/processed/7011.wav,22050,30.0,success,
11206,data/raw/fma_small/011/011206.mp3,Electronic,Elles,Music Komite,netBloc Vol. 20: music to accompany the world traveller,training,small,data/processed/11206.wav,22050,30.0,success,
11262,data/raw/fma_small/011/011262.mp3,Electronic,Wataridori 2,Cornelius,The WIRED CD: Rip. Sample. Mash. Share.,training,small,data/processed/11262.wav,22050,30.0,success,
11942,data/raw/fma_small/011/011942.mp3,Electronic,Rage Against Death,Stouffi The Stouves,netBloc Vol. 21: opening your ears with jamendo,training,small,data/processed/11942.wav,22050,30.0,success,
148,data/raw/fma_small/000/000148.mp3,Experimental,Blackout 2,Contradiction,Contradiction,validation,small,data/processed/148.wav,22050,30.0,success,
424,data/raw/fma_small/000/000424.mp3,Experimental,The Ambient Honky,Brian Joseph Davis,The Definitive Host,training,small,data/processed/424.wav,22050,30.0,success,
615,data/raw/fma_small/000/000615.mp3,Experimental,"Immaterial, side A",EKG,Immaterial,training,small,data/processed/615.wav,22050,30.0,success,
897,data/raw/fma_small/000/000897.mp3,Experimental,02,Infinite Body,White Hymn,training,small,data/processed/897.wav,22050,30.0,success,
995,data/raw/fma_small/000/000995.mp3,Experimental,No Good Deed Goes Unpunished,Kevin Shields,The Death of Patience,training,small,data/processed/995.wav,22050,30.0,success,
997,data/raw/fma_small/000/000997.mp3,Experimental,Nothing's Ever Ending,Kevin Shields,The Death of Patience,training,small,data/processed/997.wav,22050,30.0,success,
998,data/raw/fma_small/000/000998.mp3,Experimental,Apparently,Kevin Shields,The Death of Patience,training,small,data/processed/998.wav,22050,30.0,success,
1066,data/raw/fma_small/001/001066.mp3,Experimental,Helicopter de Cristal,Lucky Dragons,Norteñas,test,small,data/processed/1066.wav,22050,30.0,success,
1069,data/raw/fma_small/001/001069.mp3,Experimental,Un Lagrima en la Discoteca,Lucky Dragons,Norteñas,test,small,data/processed/1069.wav,22050,30.0,success,
1073,data/raw/fma_small/001/001073.mp3,Experimental,Onda Tocadisco,Lucky Dragons,Norteñas,test,small,data/processed/1073.wav,22050,30.0,success,
140,data/raw/fma_small/000/000140.mp3,Folk,Queen Of The Wires,Alec K. Redfearn & the Eyesores,The Blind Spot,training,small,data/processed/140.wav,22050,30.0,success,
141,data/raw/fma_small/000/000141.mp3,Folk,Ohio,Alec K. Redfearn & the Eyesores,Every Man For Himself,training,small,data/processed/141.wav,22050,30.0,success,
190,data/raw/fma_small/000/000190.mp3,Folk,Castle Of Stars,Ed Askew,Blue Piano,training,small,data/processed/190.wav,22050,30.0,success,
193,data/raw/fma_small/000/000193.mp3,Folk,Here With You,Ed Askew,Blue Piano,training,small,data/processed/193.wav,22050,30.0,success,
194,data/raw/fma_small/000/000194.mp3,Folk,All I want to Do,Ed Askew,Blue Piano,training,small,data/processed/194.wav,22050,30.0,success,
197,data/raw/fma_small/000/000197.mp3,Folk,Piano 2,Ed Askew,Blue Piano,training,small,data/processed/197.wav,22050,30.0,success,
200,data/raw/fma_small/000/000200.mp3,Folk,Baby Come Home,Ed Askew,Blue Piano,training,small,data/processed/200.wav,22050,30.0,success,
203,data/raw/fma_small/000/000203.mp3,Folk,Song For R,Ed Askew,Blue Piano,training,small,data/processed/203.wav,22050,30.0,success,
204,data/raw/fma_small/000/000204.mp3,Folk,My Dream,Ed Askew,Blue Piano,training,small,data/processed/204.wav,22050,30.0,success,
207,data/raw/fma_small/000/000207.mp3,Folk,Piano 3,Ed Askew,Blue Piano,training,small,data/processed/207.wav,22050,30.0,success,
2,data/raw/fma_small/000/000002.mp3,Hip-Hop,Food,AWOL,AWOL - A Way Of Life,training,small,data/processed/2.wav,22050,30.0,success,
5,data/raw/fma_small/000/000005.mp3,Hip-Hop,This World,AWOL,AWOL - A Way Of Life,training,small,data/processed/5.wav,22050,30.0,success,
676,data/raw/fma_small/000/000676.mp3,Hip-Hop,The Tension,Fanatic,Change Thoughts (radio edit),training,small,data/processed/676.wav,22050,30.0,success,
694,data/raw/fma_small/000/000694.mp3,Hip-Hop,Planet Say (featuring Faust),Food For Animals,mp3 single with Faust,training,small,data/processed/694.wav,22050,30.0,success,
695,data/raw/fma_small/000/000695.mp3,Hip-Hop,Elephants,Food For Animals,Cock Rock Disco 2006 Free Compilation,training,small,data/processed/695.wav,22050,30.0,success,
4682,data/raw/fma_small/004/004682.mp3,Hip-Hop,Asylum (Permanent Underclass),Dälek,Live at WFMU on Mike's Show on 9/25/2004,training,small,data/processed/4682.wav,22050,30.0,success,
4684,data/raw/fma_small/004/004684.mp3,Hip-Hop,Eyes to Form Shadows,Dälek,Live at WFMU on Mike's Show on 9/25/2004,training,small,data/processed/4684.wav,22050,30.0,success,
4685,data/raw/fma_small/004/004685.mp3,Hip-Hop,Ever Somber,Dälek,Live at WFMU on Mike's Show on 9/25/2004,training,small,data/processed/4685.wav,22050,30.0,success,
4688,data/raw/fma_small/004/004688.mp3,Hip-Hop,Culture for Dollars,Dälek,Live at WFMU on Mike's Show on 9/25/2004,training,small,data/processed/4688.wav,22050,30.0,success,
